nombre,sigla,cobertura
"OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD AZUCARERA TUCUMANA","",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA BOTONERA","OSPIB",0.30
"OBRA SOCIAL CONDUCTORES DE TRANSPORTE COLECTIVO DE PASAJEROS","",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL FOSFORO, ENCENDIDO Y AFINES","OSPIF",0.30
"OBRA SOCIAL PARA EL PERSONAL DE ESTACIONES DE SERVICIO, GARAGES, PLAYAS DE ESTACIONAMIENTO, LAVADEROS AUTOMATICOS Y GOMERIAS DE LA REPUBLICA ARGENTINA","OSPES",0.30
"OBRA SOCIAL DEL PERSONAL SUPERIOR MERCEDES BENZ ARGENTINA","OSPS MERCEDES",0.30
"OBRA SOCIAL DE GUINCHEROS Y MAQUINISTAS DE GRUAS MOVILES","",0.30
"OBRA SOCIAL DEL PERSONAL DE PRENSA DE LA REPUBLICA ARGENTINA","OSPPRA",0.30
"OBRA SOCIAL DEL PERSONAL DE MAESTRANZA","OSPM",0.30
"OBRA SOCIAL DEL PERSONAL DE ESCRIBANOS","OSPE",0.30
"OBRA SOCIAL DE TECNICOS DE FUTBOL","OSTECF",0.30
"OBRA SOCIAL DE LA INDUSTRIA DEL TRANSPORTE  AUTOMOTOR DE CORDOBA","OSITAC",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MOLINERA","OSPIM",0.30
"OBRA SOCIAL DEL PERSONAL GRAFICO","OSPG",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CAUCHO DE SANTA FE","OSPIC SANTA FE",0.30
"OBRA SOCIAL DEL PERSONAL MARITIMO","OSPM",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CUERO Y AFINES","OSPICA",0.30
"OBRA SOCIAL DEL PERSONAL DE EDIFICIOS DE RENTA Y HORIZONTAL DE LA CIUDAD AUTONOMA DE BUENOS AIRES  Y GRAN BUENOS AIRES","OSPERYH",0.30
"OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE LA REPUBLICA ARGENTINA","OSAPM",0.30
"OBRA SOCIAL DE TRABAJADORES DE LA INDUSTRIA DEL GAS","OSTIG",0.30
"OBRA SOCIAL DEL PERSONAL DE DISTRIBUIDORAS CINEMATOGRAFICAS DE LA R.A.","OSPEDICI",0.30
"OBRA SOCIAL DE TRABAJADORES DEL PETROLEO Y GAS PRIVADO DEL CHUBUT","",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA MADERERA","OSPIM",0.30
"OBRA SOCIAL DE CONDUCTORES CAMIONEROS Y PERSONAL DEL TRANSPORTE AUTOMOTOR DE CARGAS","",0.30
"OBRA SOCIAL DE FUTBOLISTAS","FAA",0.30
"OBRA SOCIAL DE PETROLEROS PRIVADOS","OS.PE.PRI",0.30
"OBRA SOCIAL DEL PERSONAL DE OBRAS Y SERVICIOS SANITARIOS","OSOSS",0.30
"OBRA SOCIAL DEL PERSONAL TECNICO AERONAUTICO","OSPTA",0.30
"OBRA SOCIAL DE LOS TRABAJADORES DE LAS EMPRESAS DE ELECTRICIDAD","OSTEE",0.30
"OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE ENTRE RIOS","OSAPMER",0.30
"OBRA SOCIAL DEL PERSONAL DE INDUSTRIAS QUIMICAS Y PETROQUIMICAS","OSPIQYP",0.30
"OBRA SOCIAL DEL PERSONAL DE CEMENTERIOS DE LA REPUBLICA ARGENTINA.","OSPCRA",0.30
"OBRA SOCIAL DE OPERADORES CINEMATOGRAFICOS","OSOC",0.30
"OBRA SOCIAL DE LOS CORTADORES DE LA INDUMENTARIA","OSUCI",0.30
"OBRA SOCIAL PORTUARIOS  PUERTO SAN MARTIN Y BELLA VISTA","",0.30
"OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD CERVECERA Y AFINES","OSPACA",0.30
"OBRA SOCIAL DE OBREROS EMPACADORES DE FRUTA  DE RIO NEGRO Y NEUQUEN","",0.30
"OBRA SOCIAL DE TRABAJADORES DE LAS COMUNICACIONES","OSTRAC",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CAUCHO","OSPIC",0.30
"OBRA SOCIAL  DE LA UNION  DE TRABAJADORES  DEL TURISMO, HOTELEROS Y GASTRONOMICOS DE LA REPUBLICA  ARGENTINA","OSUTHGRA",0.30
"OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE CORDOBA","OSAPMCBA",0.30
"OBRA SOCIAL DE JEFES Y OFICIALES MAQUINISTAS NAVALES","OSJOMN",0.30
"OBRA SOCIAL DEL PERSONAL DE LA CERAMICA, SANITARIOS, PORCELANA DE MESA Y AFINES","OSPCSPMYA",0.30
"OBRA SOCIAL DE TRABAJADORES DE ESTACIONES DE SERVICIO","OSTES",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA CINEMATOGRAFICA","OSPIC",0.30
"OBRA SOCIAL DE JEFES Y OFICIALES NAVALES DE RADIOCOMUNICACIONES","OSJONR",0.30
"OBRA SOCIAL DEL PERSONAL CINEMATOGRAFICO DE MAR DEL PLATA","OSPERCIN",0.30
"OBRA SOCIAL DEL PERSONAL NAVAL","OSPENA",0.30
"OBRA SOCIAL DE LA INDUSTRIA DE PASTAS ALIMENTICIAS","OSIPA",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL NEUMATICO","OSPIN",0.30
"OBRA SOCIAL DEL PERSONAL DE PELUQUERIAS, ESTETICAS Y AFINES","OSPPEA",0.30
"OBRA SOCIAL DE MUSICOS","OSDEM",0.30
"OBRA SOCIAL DEL PERSONAL DE INDUSTRIAS  QUIMICAS Y PETROQUIMICAS DE ZARATE CAMPANA","OPZC",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CALZADO","OSPICAL",0.30
"OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA EMPRESA SUBTERRANEOS DE BUENOS AIRES","OSPDESBA",0.30
"OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO LEDESMA","OSPAIL",0.30
"OBRA SOCIAL DEL PERSONAL DE DRAGADO Y BALIZAMIENTO","OSPEDYB",0.30
"OBRA SOCIAL DE PANADEROS, PASTELEROS Y FACTUREROS DE ENTRE RIOS","OSSPYFER",0.30
"OBRA SOCIAL DE RECIBIDORES DE GRANOS Y ANEXOS","OSRGA",0.30
"OBRA SOCIAL DEL PERSONAL DE REFINERIAS DE MAIZ","",0.30
"OBRA SOCIAL DEL PERSONAL DE SUPERVISION DE LA EMPRESA SUBTERRANEOS DE BUENOS AIRES","OSPSESBA",0.30
"OBRA SOCIAL DEL PERSONAL DE LA ACTIVIDAD VIAL","OSPA-VIAL",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA  DEL TABACO","OSPIT",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL VIDRIO","OSPIV",0.30
"OBRA SOCIAL DE VENDEDORES AMBULANTES DE LA REPUBLICA ARGENTINA","OSVARA",0.30
"OBRA SOCIAL DEL PERSONAL DE VIGILANCIA Y SEGURIDAD COMERCIAL, INDUSTRIAL E INVESTIGACIONES PRIVADAS DE CORDOBA","OSPEVIC",0.30
"OBRA SOCIAL DE LOS PROFESIONALES UNIVERSITARIOS DEL AGUA Y LA ENERGIA ELECTRICA","OSPUAYE",0.30
"OBRA SOCIAL DE BOXEADORES AGREMIADOS DE LA REPUBLICA ARGENTINA","OSBARA",0.30
"OBRA SOCIAL DE COMISARIOS NAVALES","",0.30
"OBRA SOCIAL DE LA UNION DE TRABAJADORES DEL INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS DE LA REPUBLICA ARGENTINA","OSUTI",0.30
"OBRA SOCIAL DEL PERSONAL DE LA FEDERACION DE SINDICATOS DE LA INDUSTRIA QUIMICA Y PETROQUIMICA","",0.30
"OBRA SOCIAL DE LOS MEDICOS DE LA CIUDAD DE BUENOS AIRES","OSMEDICA",0.30
"OBRA SOCIAL DEL SINDICATO UNICO DE RECOLECTORES DE RESIDUOS Y BARRIDO DE CORDOBA","O.S.S.U.R.R.B.A.C",0.30
"OBRA SOCIAL DEL PERSONAL RURAL Y ESTIBADORES DE LA REPUBLICA ARGENTINA","OSPRERA",0.30
"OBRA SOCIAL DE LA UNION OBRERA METALURGICA DE LA REPUBLICA ARGENTINA","OSUOMRA",0.30
"OBRA SOCIAL DEL PERSONAL DE IMPRENTAS, DIARIOS Y AFINES","OSPIDA",0.30
"OBRA SOCIAL TRABAJADORES  PASTELEROS, CONFITEROS, PIZZEROS , HELADEROS Y ALFAJOREROS DE LA REPUBLICA ARGENTINA","OSTPCHPYARA",0.30
"OBRA SOCIAL DE COLOCADORES DE AZULEJOS, MOSAICOS, GRANITEROS, LUSTRADORES Y PORCELANEROS","OSCAMGLYP",0.30
"OBRA SOCIAL DE LOS  SUPERVISORES DE LA INDUSTRIA METALMECANICA DE LA REPUBLICA ARGENTINA","OSSIMRA",0.30
"OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA PETROQUIMICA","OSPIP",0.30
"OBRA SOCIAL DE VIAJANTES VENDEDORES DE LA REPUBLICA ARGENTINA. (ANDAR)","OSVVRA",0.30
"OBRA SOCIAL DEL PERSONAL DEL PAPEL, CARTON Y QUIMICOS","OSPPCYQ",0.30
